Series Code,Series Name,New Series Name
AG.AGR.TRAC.NO,"Agricultural machinery, tractors",Tractors_num
AG.CON.FERT.PT.ZS,Fertilizer consumption (% of fertilizer production),FertilizerCons_pctFertilizerProd
AG.CON.FERT.ZS,Fertilizer consumption (kilograms per hectare of arable land),FertilizerCons_kgHec
AG.LND.AGRI.K2,Agricultural land (sq. km),AgriLand_sqkm
AG.LND.AGRI.ZS,Agricultural land (% of land area),AgrilLand_pctLand
AG.LND.ARBL.HA,Arable land (hectares),ArableLand_hec
AG.LND.ARBL.HA.PC,Arable land (hectares per person),ArableLand_hecPerson
AG.LND.ARBL.ZS,Arable land (% of land area),ArableLand_pctLand
AG.LND.CREL.HA,Land under cereal production (hectares),LandCerealProd_pctLand
AG.LND.CROP.ZS,Permanent cropland (% of land area),PermanentCropLand_pctLand
AG.LND.EL5M.RU.K2,Rural land area where elevation is below 5 meters (sq. km),RuralLandBel5_sqkm
AG.LND.EL5M.RU.ZS,Rural land area where elevation is below 5 meters (% of total land area),RuralLandBel5_pctLand
AG.LND.FRST.K2,Forest area (sq. km),Forest_sqkm
AG.LND.FRST.ZS,Forest area (% of land area),Forest_pctLand
AG.LND.IRIG.AG.ZS,Agricultural irrigated land (% of total agricultural land),IrrigatedLand_pctAgriLand
AG.LND.PRCP.MM,Average precipitation in depth (mm per year),PercipiAvg_mmYear
AG.LND.TOTL.K2,Land area (sq. km),Land_sqkm
AG.LND.TOTL.RU.K2,Rural land area (sq. km),RuralLand_sqkm
AG.LND.TRAC.ZS,"Agricultural machinery, tractors per 100 sq. km of arable land",TractorsPer100sqkm_num
AG.PRD.CREL.MT,Cereal production (metric tons),CerealProd_mton
AG.PRD.CROP.XD,Crop production index (2014-2016 = 100),CropProd_20146
AG.PRD.FOOD.XD,Food production index (2014-2016 = 100),FoodProd_20146
AG.PRD.LVSK.XD,Livestock production index (2014-2016 = 100),LivestockProd_20146
AG.SRF.TOTL.K2,Surface area (sq. km),SurfaceArea_sqkm
AG.YLD.CREL.KG,Cereal yield (kg per hectare),CerealYield_kgHec
EG.ELC.ACCS.RU.ZS,"Access to electricity, rural (% of rural population)",RuralElectricity_pctRuralPop
EN.ATM.METH.AG.KT.CE,Agricultural methane emissions (thousand metric tons of CO2 equivalent),AgriCH4Emit_mton
EN.ATM.METH.AG.ZS,Agricultural methane emissions (% of total),AgriCH4Emit_pctTotEmit
EN.ATM.NOXE.AG.KT.CE,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),AgriN2OEmit_mton
EN.ATM.NOXE.AG.ZS,Agricultural nitrous oxide emissions (% of total),AgriN2OEmit_pctTotEmit
EN.POP.EL5M.RU.ZS,Rural population living in areas where elevation is below 5 meters (% of total population),RuralPopBel5_pctTotPop
ER.H2O.FWAG.ZS,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",FreshwaterAgri_pctTotFreshwater
NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",AFF_USD
NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",AFF_pctGDP
SL.AGR.EMPL.FE.ZS,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",FemaleEmpAgri_pctFemaleEmp
SL.AGR.EMPL.MA.ZS,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",MaleEmpAgri_pctMaleEmp
SL.AGR.EMPL.ZS,Employment in agriculture (% of total employment) (modeled ILO estimate),EmpAgri_pctEmp
SP.RUR.TOTL,Rural population,RuralPop_num
SP.RUR.TOTL.ZG,Rural population growth (annual %),RuralPopGrowth_pctAnnual
SP.RUR.TOTL.ZS,Rural population (% of total population),RuralPop_pctTotPop
TM.VAL.AGRI.ZS.UN,Agricultural raw materials imports (% of merchandise imports),AgriMaterialImport_pctImports
TX.VAL.AGRI.ZS.UN,Agricultural raw materials exports (% of merchandise exports),AgriMaterialExport_pctExports
